group	x	y	key	showSelected1
30	6	76	36	36
30	8	98	36	36
30	10	116	36	36
30	12	145	36	36
30	14	166	36	36
30	16	198	36	36
30	18	227	36	36
30	20	225	36	36
30	21	220	36	36
31	0	41	37	37
31	2	48	37	37
31	4	56	37	37
31	6	68	37	37
31	8	80	37	37
31	10	83	37	37
31	12	103	37	37
31	14	112	37	37
31	16	135	37	37
31	18	157	37	37
31	20	169	37	37
31	21	178	37	37
32	0	41	38	38
32	2	49	38	38
32	4	61	38	38
32	6	74	38	38
32	8	98	38	38
32	10	109	38	38
32	12	128	38	38
32	14	154	38	38
32	16	192	38	38
32	18	232	38	38
32	20	280	38	38
32	21	290	38	38
33	0	42	39	39
33	2	50	39	39
33	4	61	39	39
33	6	78	39	39
33	8	89	39	39
33	10	109	39	39
33	12	130	39	39
33	14	146	39	39
33	16	170	39	39
33	18	214	39	39
33	20	250	39	39
33	21	272	39	39
34	0	42	4	4
34	2	49	4	4
34	4	56	4	4
34	6	67	4	4
34	8	74	4	4
34	10	87	4	4
34	12	102	4	4
34	14	108	4	4
34	16	136	4	4
34	18	154	4	4
34	20	160	4	4
34	21	157	4	4
35	0	41	40	40
35	2	55	40	40
35	4	66	40	40
35	6	79	40	40
35	8	101	40	40
35	10	120	40	40
35	12	154	40	40
35	14	182	40	40
35	16	215	40	40
35	18	262	40	40
35	20	295	40	40
35	21	321	40	40
36	0	42	41	41
36	2	51	41	41
36	4	66	41	41
36	6	85	41	41
36	8	103	41	41
36	10	124	41	41
36	12	155	41	41
36	14	153	41	41
36	16	175	41	41
36	18	184	41	41
36	20	199	41	41
36	21	204	41	41
37	0	42	42	42
37	2	49	42	42
37	4	63	42	42
37	6	84	42	42
37	8	103	42	42
37	10	126	42	42
37	12	160	42	42
37	14	174	42	42
37	16	204	42	42
37	18	234	42	42
37	20	269	42	42
37	21	281	42	42
38	0	42	43	43
38	2	55	43	43
38	4	69	43	43
38	6	96	43	43
38	8	131	43	43
38	10	157	43	43
38	12	184	43	43
38	14	188	43	43
38	16	197	43	43
38	18	198	43	43
38	20	199	43	43
38	21	200	43	43
39	0	42	44	44
39	2	51	44	44
39	4	65	44	44
39	6	86	44	44
39	8	103	44	44
39	10	118	44	44
39	12	127	44	44
39	14	138	44	44
39	16	145	44	44
39	18	146	44	44
40	0	41	45	45
40	2	50	45	45
40	4	61	45	45
40	6	78	45	45
40	8	98	45	45
40	10	117	45	45
40	12	135	45	45
40	14	141	45	45
40	16	147	45	45
40	18	174	45	45
40	20	197	45	45
40	21	196	45	45
41	0	40	46	46
41	2	52	46	46
41	4	62	46	46
41	6	82	46	46
41	8	101	46	46
41	10	120	46	46
41	12	144	46	46
41	14	156	46	46
41	16	173	46	46
41	18	210	46	46
41	20	231	46	46
41	21	238	46	46
42	0	41	47	47
42	2	53	47	47
42	4	66	47	47
42	6	79	47	47
42	8	100	47	47
42	10	123	47	47
42	12	148	47	47
42	14	157	47	47
42	16	168	47	47
42	18	185	47	47
42	20	210	47	47
42	21	205	47	47
43	0	39	48	48
43	2	50	48	48
43	4	62	48	48
43	6	80	48	48
43	8	104	48	48
43	10	125	48	48
43	12	154	48	48
43	14	170	48	48
43	16	222	48	48
43	18	261	48	48
43	20	303	48	48
43	21	322	48	48
44	0	40	49	49
44	2	53	49	49
44	4	64	49	49
44	6	85	49	49
44	8	108	49	49
44	10	128	49	49
44	12	152	49	49
44	14	166	49	49
44	16	184	49	49
44	18	203	49	49
44	20	233	49	49
44	21	237	49	49
45	0	41	5	5
45	2	42	5	5
45	4	48	5	5
45	6	60	5	5
45	8	79	5	5
45	10	106	5	5
45	12	141	5	5
45	14	164	5	5
45	16	197	5	5
45	18	199	5	5
45	20	220	5	5
45	21	223	5	5
46	0	41	50	50
46	2	54	50	50
46	4	67	50	50
46	6	84	50	50
46	8	105	50	50
46	10	122	50	50
46	12	155	50	50
46	14	175	50	50
46	16	205	50	50
46	18	234	50	50
46	20	264	50	50
46	21	264	50	50
47	0	41	6	6
47	2	49	6	6
47	4	59	6	6
47	6	74	6	6
47	8	97	6	6
47	10	124	6	6
47	12	141	6	6
47	14	148	6	6
47	16	155	6	6
47	18	160	6	6
47	20	160	6	6
47	21	157	6	6
48	0	41	7	7
48	2	49	7	7
48	4	57	7	7
48	6	71	7	7
48	8	89	7	7
48	10	112	7	7
48	12	146	7	7
48	14	174	7	7
48	16	218	7	7
48	18	250	7	7
48	20	288	7	7
48	21	305	7	7
49	0	42	8	8
49	2	50	8	8
49	4	61	8	8
49	6	71	8	8
49	8	84	8	8
49	10	93	8	8
49	12	110	8	8
49	14	116	8	8
49	16	126	8	8
49	18	134	8	8
49	20	125	8	8
50	0	42	9	9
50	2	51	9	9
50	4	59	9	9
50	6	68	9	9
50	8	85	9	9
50	10	96	9	9
50	12	90	9	9
50	14	92	9	9
50	16	93	9	9
50	18	100	9	9
50	20	100	9	9
50	21	98	9	9
