colour	x	y	key	clickSelects	showSelected1	fill
#C77CFF	18	203	49	49	18	#C77CFF
#C77CFF	20	233	49	49	20	#C77CFF
#C77CFF	21	237	49	49	21	#C77CFF
#C77CFF	0	41	50	50	0	#C77CFF
#C77CFF	2	54	50	50	2	#C77CFF
#C77CFF	4	67	50	50	4	#C77CFF
#C77CFF	6	84	50	50	6	#C77CFF
#C77CFF	8	105	50	50	8	#C77CFF
#C77CFF	10	122	50	50	10	#C77CFF
#C77CFF	12	155	50	50	12	#C77CFF
#C77CFF	14	175	50	50	14	#C77CFF
#C77CFF	16	205	50	50	16	#C77CFF
#C77CFF	18	234	50	50	18	#C77CFF
#C77CFF	20	264	50	50	20	#C77CFF
#C77CFF	21	264	50	50	21	#C77CFF
