colour	x	y	key	clickSelects	showSelected1	fill
#F8766D	8	74	10	10	8	#F8766D
#F8766D	10	81	10	10	10	#F8766D
#F8766D	12	89	10	10	12	#F8766D
#F8766D	14	96	10	10	14	#F8766D
#F8766D	16	101	10	10	16	#F8766D
#F8766D	18	112	10	10	18	#F8766D
#F8766D	20	120	10	10	20	#F8766D
#F8766D	21	124	10	10	21	#F8766D
#F8766D	0	43	11	11	0	#F8766D
#F8766D	2	51	11	11	2	#F8766D
#F8766D	4	63	11	11	4	#F8766D
#F8766D	6	84	11	11	6	#F8766D
#F8766D	8	112	11	11	8	#F8766D
#F8766D	10	139	11	11	10	#F8766D
#F8766D	12	168	11	11	12	#F8766D
#F8766D	14	177	11	11	14	#F8766D
#F8766D	16	182	11	11	16	#F8766D
#F8766D	18	184	11	11	18	#F8766D
#F8766D	20	181	11	11	20	#F8766D
#F8766D	21	175	11	11	21	#F8766D
#F8766D	0	41	12	12	0	#F8766D
#F8766D	2	49	12	12	2	#F8766D
#F8766D	4	56	12	12	4	#F8766D
#F8766D	6	62	12	12	6	#F8766D
#F8766D	8	72	12	12	8	#F8766D
#F8766D	10	88	12	12	10	#F8766D
#F8766D	12	119	12	12	12	#F8766D
#F8766D	14	135	12	12	14	#F8766D
#F8766D	16	162	12	12	16	#F8766D
#F8766D	18	185	12	12	18	#F8766D
#F8766D	20	195	12	12	20	#F8766D
#F8766D	21	205	12	12	21	#F8766D
#F8766D	0	41	13	13	0	#F8766D
#F8766D	2	48	13	13	2	#F8766D
#F8766D	4	53	13	13	4	#F8766D
#F8766D	6	60	13	13	6	#F8766D
#F8766D	8	65	13	13	8	#F8766D
#F8766D	10	67	13	13	10	#F8766D
#F8766D	12	71	13	13	12	#F8766D
#F8766D	14	70	13	13	14	#F8766D
#F8766D	16	71	13	13	16	#F8766D
#F8766D	18	81	13	13	18	#F8766D
#F8766D	20	91	13	13	20	#F8766D
#F8766D	21	96	13	13	21	#F8766D
#F8766D	0	41	14	14	0	#F8766D
#F8766D	2	49	14	14	2	#F8766D
#F8766D	4	62	14	14	4	#F8766D
#F8766D	6	79	14	14	6	#F8766D
#F8766D	8	101	14	14	8	#F8766D
#F8766D	10	128	14	14	10	#F8766D
#F8766D	12	164	14	14	12	#F8766D
#F8766D	14	192	14	14	14	#F8766D
#F8766D	16	227	14	14	16	#F8766D
#F8766D	18	248	14	14	18	#F8766D
#F8766D	20	259	14	14	20	#F8766D
#F8766D	21	266	14	14	21	#F8766D
#F8766D	0	41	15	15	0	#F8766D
#F8766D	2	49	15	15	2	#F8766D
#F8766D	4	56	15	15	4	#F8766D
#F8766D	6	64	15	15	6	#F8766D
#F8766D	8	68	15	15	8	#F8766D
#F8766D	10	68	15	15	10	#F8766D
#F8766D	12	67	15	15	12	#F8766D
#F8766D	14	68	15	15	14	#F8766D
#F8766D	0	41	16	16	0	#F8766D
#F8766D	2	45	16	16	2	#F8766D
#F8766D	4	49	16	16	4	#F8766D
#F8766D	6	51	16	16	6	#F8766D
#F8766D	8	57	16	16	8	#F8766D
#F8766D	10	51	16	16	10	#F8766D
#F8766D	12	54	16	16	12	#F8766D
#F8766D	0	42	17	17	0	#F8766D
#F8766D	2	51	17	17	2	#F8766D
#F8766D	4	61	17	17	4	#F8766D
#F8766D	6	72	17	17	6	#F8766D
#F8766D	8	83	17	17	8	#F8766D
#F8766D	10	89	17	17	10	#F8766D
#F8766D	12	98	17	17	12	#F8766D
#F8766D	14	103	17	17	14	#F8766D
#F8766D	16	113	17	17	16	#F8766D
#F8766D	18	123	17	17	18	#F8766D
#F8766D	20	133	17	17	20	#F8766D
#F8766D	21	142	17	17	21	#F8766D
#F8766D	0	39	18	18	0	#F8766D
#F8766D	2	35	18	18	2	#F8766D
#F8766D	0	43	19	19	0	#F8766D
#F8766D	2	48	19	19	2	#F8766D
#F8766D	4	55	19	19	4	#F8766D
#F8766D	6	62	19	19	6	#F8766D
#F8766D	8	65	19	19	8	#F8766D
#F8766D	10	71	19	19	10	#F8766D
#F8766D	12	82	19	19	12	#F8766D
#F8766D	14	88	19	19	14	#F8766D
#F8766D	16	106	19	19	16	#F8766D
#F8766D	18	120	19	19	18	#F8766D
#F8766D	20	144	19	19	20	#F8766D
#F8766D	21	157	19	19	21	#F8766D
#F8766D	0	41	20	20	0	#F8766D
#F8766D	2	47	20	20	2	#F8766D
#F8766D	4	54	20	20	4	#F8766D
#F8766D	6	58	20	20	6	#F8766D
#F8766D	8	65	20	20	8	#F8766D
#F8766D	10	73	20	20	10	#F8766D
#F8766D	12	77	20	20	12	#F8766D
#F8766D	14	89	20	20	14	#F8766D
#F8766D	16	98	20	20	16	#F8766D
#F8766D	18	107	20	20	18	#F8766D
#F8766D	20	115	20	20	20	#F8766D
#F8766D	21	117	20	20	21	#F8766D
