group	colour	x	y	key
13	#F8766D	6	58	20
13	#F8766D	8	65	20
13	#F8766D	10	73	20
13	#F8766D	12	77	20
13	#F8766D	14	89	20
13	#F8766D	16	98	20
13	#F8766D	18	107	20
13	#F8766D	20	115	20
13	#F8766D	21	117	20
14	#7CAE00	0	40	21
14	#7CAE00	2	50	21
14	#7CAE00	4	62	21
14	#7CAE00	6	86	21
14	#7CAE00	8	125	21
14	#7CAE00	10	163	21
14	#7CAE00	12	217	21
14	#7CAE00	14	240	21
14	#7CAE00	16	275	21
14	#7CAE00	18	307	21
14	#7CAE00	20	318	21
14	#7CAE00	21	331	21
15	#7CAE00	0	41	22
15	#7CAE00	2	55	22
15	#7CAE00	4	64	22
15	#7CAE00	6	77	22
15	#7CAE00	8	90	22
15	#7CAE00	10	95	22
15	#7CAE00	12	108	22
15	#7CAE00	14	111	22
15	#7CAE00	16	131	22
15	#7CAE00	18	148	22
15	#7CAE00	20	164	22
15	#7CAE00	21	167	22
16	#7CAE00	0	43	23
16	#7CAE00	2	52	23
16	#7CAE00	4	61	23
16	#7CAE00	6	73	23
16	#7CAE00	8	90	23
16	#7CAE00	10	103	23
16	#7CAE00	12	127	23
16	#7CAE00	14	135	23
16	#7CAE00	16	145	23
16	#7CAE00	18	163	23
16	#7CAE00	20	170	23
16	#7CAE00	21	175	23
17	#7CAE00	0	42	24
17	#7CAE00	2	52	24
17	#7CAE00	4	58	24
17	#7CAE00	6	74	24
17	#7CAE00	8	66	24
17	#7CAE00	10	68	24
17	#7CAE00	12	70	24
17	#7CAE00	14	71	24
17	#7CAE00	16	72	24
17	#7CAE00	18	72	24
17	#7CAE00	20	76	24
17	#7CAE00	21	74	24
18	#7CAE00	0	40	25
18	#7CAE00	2	49	25
18	#7CAE00	4	62	25
18	#7CAE00	6	78	25
18	#7CAE00	8	102	25
18	#7CAE00	10	124	25
18	#7CAE00	12	146	25
18	#7CAE00	14	164	25
18	#7CAE00	16	197	25
18	#7CAE00	18	231	25
18	#7CAE00	20	259	25
18	#7CAE00	21	265	25
19	#7CAE00	0	42	26
19	#7CAE00	2	48	26
19	#7CAE00	4	57	26
19	#7CAE00	6	74	26
19	#7CAE00	8	93	26
19	#7CAE00	10	114	26
19	#7CAE00	12	136	26
19	#7CAE00	14	147	26
19	#7CAE00	16	169	26
19	#7CAE00	18	205	26
19	#7CAE00	20	236	26
19	#7CAE00	21	251	26
20	#7CAE00	0	39	27
20	#7CAE00	2	46	27
20	#7CAE00	4	58	27
20	#7CAE00	6	73	27
20	#7CAE00	8	87	27
20	#7CAE00	10	100	27
20	#7CAE00	12	115	27
20	#7CAE00	14	123	27
20	#7CAE00	16	144	27
20	#7CAE00	18	163	27
20	#7CAE00	20	185	27
20	#7CAE00	21	192	27
21	#7CAE00	0	39	28
21	#7CAE00	2	46	28
21	#7CAE00	4	58	28
21	#7CAE00	6	73	28
21	#7CAE00	8	92	28
21	#7CAE00	10	114	28
21	#7CAE00	12	145	28
21	#7CAE00	14	156	28
21	#7CAE00	16	184	28
21	#7CAE00	18	207	28
21	#7CAE00	20	212	28
21	#7CAE00	21	233	28
22	#7CAE00	0	39	29
22	#7CAE00	2	48	29
22	#7CAE00	4	59	29
22	#7CAE00	6	74	29
22	#7CAE00	8	87	29
22	#7CAE00	10	106	29
22	#7CAE00	12	134	29
22	#7CAE00	14	150	29
22	#7CAE00	16	187	29
22	#7CAE00	18	230	29
22	#7CAE00	20	279	29
22	#7CAE00	21	309	29
23	#F8766D	0	43	3
23	#F8766D	2	39	3
23	#F8766D	4	55	3
23	#F8766D	6	67	3
23	#F8766D	8	84	3
23	#F8766D	10	99	3
23	#F8766D	12	115	3
23	#F8766D	14	138	3
23	#F8766D	16	163	3
23	#F8766D	18	187	3
23	#F8766D	20	198	3
23	#F8766D	21	202	3
24	#7CAE00	0	42	30
24	#7CAE00	2	48	30
24	#7CAE00	4	59	30
24	#7CAE00	6	72	30
24	#7CAE00	8	85	30
24	#7CAE00	10	98	30
24	#7CAE00	12	115	30
24	#7CAE00	14	122	30
24	#7CAE00	16	143	30
24	#7CAE00	18	151	30
24	#7CAE00	20	157	30
24	#7CAE00	21	150	30
25	#00BFC4	0	42	31
25	#00BFC4	2	53	31
25	#00BFC4	4	62	31
25	#00BFC4	6	73	31
25	#00BFC4	8	85	31
25	#00BFC4	10	102	31
25	#00BFC4	12	123	31
25	#00BFC4	14	138	31
25	#00BFC4	16	170	31
25	#00BFC4	18	204	31
25	#00BFC4	20	235	31
25	#00BFC4	21	256	31
26	#00BFC4	0	41	32
26	#00BFC4	2	49	32
26	#00BFC4	4	65	32
26	#00BFC4	6	82	32
26	#00BFC4	8	107	32
26	#00BFC4	10	129	32
26	#00BFC4	12	159	32
26	#00BFC4	14	179	32
26	#00BFC4	16	221	32
26	#00BFC4	18	263	32
26	#00BFC4	20	291	32
26	#00BFC4	21	305	32
27	#00BFC4	0	39	33
27	#00BFC4	2	50	33
27	#00BFC4	4	63	33
27	#00BFC4	6	77	33
27	#00BFC4	8	96	33
27	#00BFC4	10	111	33
27	#00BFC4	12	137	33
27	#00BFC4	14	144	33
27	#00BFC4	16	151	33
27	#00BFC4	18	146	33
27	#00BFC4	20	156	33
27	#00BFC4	21	147	33
28	#00BFC4	0	41	34
28	#00BFC4	2	49	34
28	#00BFC4	4	63	34
28	#00BFC4	6	85	34
28	#00BFC4	8	107	34
28	#00BFC4	10	134	34
28	#00BFC4	12	164	34
28	#00BFC4	14	186	34
28	#00BFC4	16	235	34
28	#00BFC4	18	294	34
28	#00BFC4	20	327	34
28	#00BFC4	21	341	34
29	#00BFC4	0	41	35
29	#00BFC4	2	53	35
29	#00BFC4	4	64	35
29	#00BFC4	6	87	35
29	#00BFC4	8	123	35
29	#00BFC4	10	158	35
29	#00BFC4	12	201	35
29	#00BFC4	14	238	35
29	#00BFC4	16	287	35
29	#00BFC4	18	332	35
29	#00BFC4	20	361	35
29	#00BFC4	21	373	35
30	#00BFC4	0	39	36
30	#00BFC4	2	48	36
30	#00BFC4	4	61	36
30	#00BFC4	6	76	36
30	#00BFC4	8	98	36
30	#00BFC4	10	116	36
30	#00BFC4	12	145	36
30	#00BFC4	14	166	36
30	#00BFC4	16	198	36
30	#00BFC4	18	227	36
30	#00BFC4	20	225	36
30	#00BFC4	21	220	36
31	#00BFC4	0	41	37
31	#00BFC4	2	48	37
31	#00BFC4	4	56	37
31	#00BFC4	6	68	37
31	#00BFC4	8	80	37
31	#00BFC4	10	83	37
31	#00BFC4	12	103	37
31	#00BFC4	14	112	37
31	#00BFC4	16	135	37
31	#00BFC4	18	157	37
31	#00BFC4	20	169	37
31	#00BFC4	21	178	37
32	#00BFC4	0	41	38
32	#00BFC4	2	49	38
32	#00BFC4	4	61	38
32	#00BFC4	6	74	38
32	#00BFC4	8	98	38
32	#00BFC4	10	109	38
32	#00BFC4	12	128	38
32	#00BFC4	14	154	38
32	#00BFC4	16	192	38
32	#00BFC4	18	232	38
32	#00BFC4	20	280	38
32	#00BFC4	21	290	38
33	#00BFC4	0	42	39
33	#00BFC4	2	50	39
33	#00BFC4	4	61	39
33	#00BFC4	6	78	39
33	#00BFC4	8	89	39
33	#00BFC4	10	109	39
33	#00BFC4	12	130	39
33	#00BFC4	14	146	39
33	#00BFC4	16	170	39
33	#00BFC4	18	214	39
33	#00BFC4	20	250	39
33	#00BFC4	21	272	39
34	#F8766D	0	42	4
34	#F8766D	2	49	4
34	#F8766D	4	56	4
34	#F8766D	6	67	4
34	#F8766D	8	74	4
34	#F8766D	10	87	4
34	#F8766D	12	102	4
34	#F8766D	14	108	4
34	#F8766D	16	136	4
34	#F8766D	18	154	4
34	#F8766D	20	160	4
34	#F8766D	21	157	4
35	#00BFC4	0	41	40
35	#00BFC4	2	55	40
35	#00BFC4	4	66	40
35	#00BFC4	6	79	40
35	#00BFC4	8	101	40
35	#00BFC4	10	120	40
35	#00BFC4	12	154	40
35	#00BFC4	14	182	40
35	#00BFC4	16	215	40
35	#00BFC4	18	262	40
35	#00BFC4	20	295	40
35	#00BFC4	21	321	40
36	#C77CFF	0	42	41
36	#C77CFF	2	51	41
36	#C77CFF	4	66	41
36	#C77CFF	6	85	41
36	#C77CFF	8	103	41
36	#C77CFF	10	124	41
36	#C77CFF	12	155	41
36	#C77CFF	14	153	41
36	#C77CFF	16	175	41
36	#C77CFF	18	184	41
36	#C77CFF	20	199	41
36	#C77CFF	21	204	41
37	#C77CFF	0	42	42
37	#C77CFF	2	49	42
37	#C77CFF	4	63	42
37	#C77CFF	6	84	42
37	#C77CFF	8	103	42
37	#C77CFF	10	126	42
37	#C77CFF	12	160	42
37	#C77CFF	14	174	42
37	#C77CFF	16	204	42
37	#C77CFF	18	234	42
37	#C77CFF	20	269	42
37	#C77CFF	21	281	42
38	#C77CFF	0	42	43
38	#C77CFF	2	55	43
38	#C77CFF	4	69	43
38	#C77CFF	6	96	43
38	#C77CFF	8	131	43
38	#C77CFF	10	157	43
38	#C77CFF	12	184	43
38	#C77CFF	14	188	43
38	#C77CFF	16	197	43
38	#C77CFF	18	198	43
38	#C77CFF	20	199	43
38	#C77CFF	21	200	43
39	#C77CFF	0	42	44
39	#C77CFF	2	51	44
39	#C77CFF	4	65	44
39	#C77CFF	6	86	44
39	#C77CFF	8	103	44
39	#C77CFF	10	118	44
39	#C77CFF	12	127	44
39	#C77CFF	14	138	44
39	#C77CFF	16	145	44
39	#C77CFF	18	146	44
40	#C77CFF	0	41	45
40	#C77CFF	2	50	45
40	#C77CFF	4	61	45
40	#C77CFF	6	78	45
40	#C77CFF	8	98	45
40	#C77CFF	10	117	45
40	#C77CFF	12	135	45
40	#C77CFF	14	141	45
40	#C77CFF	16	147	45
40	#C77CFF	18	174	45
40	#C77CFF	20	197	45
40	#C77CFF	21	196	45
41	#C77CFF	0	40	46
41	#C77CFF	2	52	46
41	#C77CFF	4	62	46
41	#C77CFF	6	82	46
41	#C77CFF	8	101	46
41	#C77CFF	10	120	46
41	#C77CFF	12	144	46
41	#C77CFF	14	156	46
41	#C77CFF	16	173	46
41	#C77CFF	18	210	46
41	#C77CFF	20	231	46
41	#C77CFF	21	238	46
42	#C77CFF	0	41	47
42	#C77CFF	2	53	47
42	#C77CFF	4	66	47
42	#C77CFF	6	79	47
42	#C77CFF	8	100	47
42	#C77CFF	10	123	47
42	#C77CFF	12	148	47
42	#C77CFF	14	157	47
42	#C77CFF	16	168	47
42	#C77CFF	18	185	47
42	#C77CFF	20	210	47
42	#C77CFF	21	205	47
43	#C77CFF	0	39	48
43	#C77CFF	2	50	48
43	#C77CFF	4	62	48
43	#C77CFF	6	80	48
43	#C77CFF	8	104	48
43	#C77CFF	10	125	48
43	#C77CFF	12	154	48
43	#C77CFF	14	170	48
43	#C77CFF	16	222	48
43	#C77CFF	18	261	48
43	#C77CFF	20	303	48
43	#C77CFF	21	322	48
44	#C77CFF	0	40	49
44	#C77CFF	2	53	49
44	#C77CFF	4	64	49
44	#C77CFF	6	85	49
44	#C77CFF	8	108	49
44	#C77CFF	10	128	49
44	#C77CFF	12	152	49
44	#C77CFF	14	166	49
44	#C77CFF	16	184	49
44	#C77CFF	18	203	49
44	#C77CFF	20	233	49
44	#C77CFF	21	237	49
45	#F8766D	0	41	5
45	#F8766D	2	42	5
45	#F8766D	4	48	5
45	#F8766D	6	60	5
45	#F8766D	8	79	5
45	#F8766D	10	106	5
45	#F8766D	12	141	5
45	#F8766D	14	164	5
45	#F8766D	16	197	5
45	#F8766D	18	199	5
45	#F8766D	20	220	5
45	#F8766D	21	223	5
46	#C77CFF	0	41	50
46	#C77CFF	2	54	50
46	#C77CFF	4	67	50
46	#C77CFF	6	84	50
46	#C77CFF	8	105	50
46	#C77CFF	10	122	50
46	#C77CFF	12	155	50
46	#C77CFF	14	175	50
46	#C77CFF	16	205	50
46	#C77CFF	18	234	50
46	#C77CFF	20	264	50
46	#C77CFF	21	264	50
47	#F8766D	0	41	6
47	#F8766D	2	49	6
47	#F8766D	4	59	6
47	#F8766D	6	74	6
47	#F8766D	8	97	6
47	#F8766D	10	124	6
47	#F8766D	12	141	6
47	#F8766D	14	148	6
47	#F8766D	16	155	6
47	#F8766D	18	160	6
47	#F8766D	20	160	6
47	#F8766D	21	157	6
48	#F8766D	0	41	7
48	#F8766D	2	49	7
48	#F8766D	4	57	7
48	#F8766D	6	71	7
48	#F8766D	8	89	7
48	#F8766D	10	112	7
48	#F8766D	12	146	7
48	#F8766D	14	174	7
48	#F8766D	16	218	7
48	#F8766D	18	250	7
48	#F8766D	20	288	7
48	#F8766D	21	305	7
49	#F8766D	0	42	8
49	#F8766D	2	50	8
49	#F8766D	4	61	8
49	#F8766D	6	71	8
49	#F8766D	8	84	8
49	#F8766D	10	93	8
49	#F8766D	12	110	8
49	#F8766D	14	116	8
49	#F8766D	16	126	8
49	#F8766D	18	134	8
49	#F8766D	20	125	8
50	#F8766D	0	42	9
50	#F8766D	2	51	9
50	#F8766D	4	59	9
50	#F8766D	6	68	9
50	#F8766D	8	85	9
50	#F8766D	10	96	9
50	#F8766D	12	90	9
50	#F8766D	14	92	9
50	#F8766D	16	93	9
50	#F8766D	18	100	9
50	#F8766D	20	100	9
50	#F8766D	21	98	9
